,API,Formation,MD,SS
555,490251063100,SHNNu,512.13,4703.87
556,490251063100,SHNNbs,637.68,4578.32
557,490251073900,CRLL,2407.11,2810.89
558,490251073900,SHNNu,414.63,4803.37
559,490251073900,SHNNl,501.95,4716.05
560,490251073900,SHNNbs,576.94,4641.06
561,490251077600,SHNNu,448.17,4679.83
562,490251077600,SHNNbs,608.07,4519.93
563,490251077600,F1WCbase,2851.14,2276.86
564,490251077600,MNKT,5541.3,-413.3
565,490251077600,A Sand,5613.06,-485.06
566,490251077600,B Sand,5660.44,-532.44
567,490251077600,F2WCbase,3133.31,1994.69
568,490251077600,CRLL,2429.29,2698.71
569,490251077600,SHNNl,536.08,4591.92
570,490251077600,F1WC,2661.35,2466.65
571,490251077600,B1,2901.29,2226.71
572,490251077600,OPCH,5561.04,-433.04
573,490251077600,B Dolo,5639.56,-511.56
574,490251077600,F2WC,3066.55,2061.45
576,490252250100,SSXbase,347.22,4747.78
577,490252250100,SHNNl,762.41,4332.59
578,490252250100,SSXS,313.24,4781.76
579,490252250100,SHNNu,678.45,4416.55
580,490252250100,SHNNbs,824.47,4270.53
581,490251105400,B1,2844.49,2351.01
582,490251105400,F2WCbase,3099.76,2095.74
583,490251105400,SHNNu,382.82,4812.68
584,490251105400,SHNNl,464.25,4731.25
585,490251105400,SSXbase,56.33,5139.17
586,490251105400,SSXS,14.8,5180.7
587,490251105400,SHNNbs,541.59,4653.91
588,490251105400,F2WC,3018.34,2177.16
589,490251105400,F1WC,2601.86,2593.64
590,490251105400,F1WCbase,2800.01,2395.49
591,490251102200,F1WC,2604.98,2596.02
592,490251102200,F2WCbase,3102.34,2098.66
593,490251102200,SHNNbs,553.01,4647.99
594,490251102200,F2WC,3022.09,2178.91
595,490251102200,B1,2849.94,2351.06
596,490251102200,F1WCbase,2802.88,2398.12
597,490251028000,SSXbase,53.86,5139.14
598,490251028000,SHNNbs,535.96,4657.04
599,490251028000,SHNNl,458.74,4734.26
600,490251028000,SHNNu,379.31,4813.69
601,490251027600,SHNNl,622.59,4606.61
602,490251027600,SSXbase,178.72,5050.48
603,490251027600,SHNNu,541.41,4687.79
604,490251027600,SHNNbs,698.53,4530.67
605,490251027600,SSXS,132.24,5096.96
606,490251029900,SSXbase,64.16,5068.84
607,490251029900,SHNNu,431.67,4701.33
608,490251029900,SHNNl,523.55,4609.45
609,490251029900,SHNNbs,593.38,4539.62
610,490250654500,SSXS,278.47,4794.53
611,490250654500,SSXbase,328.17,4744.83
612,490250654500,SHNNl,780.56,4292.44
613,490250654500,SHNNu,684.29,4388.71
614,490251002100,CRLL,2398,2729
615,490251002100,NBRRws,1941.69,3185.31
616,490251057800,SHNNu,430.83,4692.17
617,490251057800,SHNNl,518.31,4604.69
618,490251057800,F1WC,2642.79,2480.21
619,490251057800,F2WCbase,3124.34,1998.66
620,490251057800,CRLL,2402.42,2720.58
621,490251057800,B1,2882.08,2240.92
622,490251057800,F2WC,3053.96,2069.04
623,490251057800,SHNNbs,587.25,4535.75
624,490251057800,F1WCbase,2833.57,2289.43
625,490251104500,SHNNu,364.28,4763.72
626,490251104500,SHNNl,449.73,4678.27
627,490251108900,SHNNu,400.82,4794.18
628,490251108900,SHNNl,487.77,4707.23
629,490251108900,SHNNbs,563.94,4631.06
630,490251108900,SSXbase,24.54,5170.46
631,490251041800,F2WCbase,3030.86,2064.14
632,490251041800,F2WC,2964.67,2130.33
633,490251065900,F2WC,2755.17,2247.83
634,490251065900,F2WCbase,2796.8,2206.2
635,490251065900,F1WC,2343.47,2659.53
