,UWI,DATUM,GL,EREF,UNIT,datum
1835,AA/09-17-085-11W4/0,535.6,534.0,535.6,M,535.6
1836,AA/09-19-087-12W4/0,1531.0,1531.0,1531.0,F,465.424
1837,AA/09-20-092-13W4/0,437.9,437.9,437.9,M,437.9
1838,AA/09-23-099-13W4/0,843.4,840.16,843.4,M,843.4
1839,AA/09-24-096-11W4/0,285.0,0.0,285.0,M,285.0
1840,AA/09-26-083-12W4/0,611.124,609.6,611.124,M,611.124
1841,AA/09-28-076-06W4/0,555.14,555.14,558.14,M,558.14
1842,AA/09-28-087-07W4/0,409.49,407.99,409.49,M,409.49
1843,AA/09-28-090-10W4/0,350.83,350.83,10.0,M,10.0
1844,AA/09-29-083-12W4/0,567.903,566.227,567.903,M,567.903
1845,AA/09-29-084-07W4/0,600.85,597.9,600.85,M,600.85
1846,AA/09-30-094-11W4/0,313.578,313.578,313.578,M,313.578
1847,AA/09-31-083-11W4/0,619.15,615.5,619.15,M,619.15
1848,AA/09-35-100-14W4/0,726.643,723.29,726.643,M,726.643
1849,AA/10-01-093-10W4/0,319.38,319.38,319.38,M,319.38
1850,AA/10-01-098-08W4/0,290.6,290.6,290.6,M,290.6
1851,AA/10-02-090-24W4/0,512.0,512.0,515.5,M,515.5
1852,AA/10-02-093-08W4/0,454.8,454.8,454.8,M,454.8
1853,AA/10-02-095-06W4/0,598.5,595.5,598.5,M,598.5
1854,AA/10-03-094-13W4/0,1222.0,1222.0,1222.0,F,371.488
1855,AA/10-05-081-07W4/0,608.48,604.88,608.48,M,608.48
1856,AA/10-05-088-19W4/0,531.3,531.3,534.8,M,534.8
1857,AA/10-06-098-07W4/0,292.7,292.7,292.7,M,292.7
1858,AA/10-07-089-11W4/0,461.01,459.273,461.01,M,461.01
1859,AA/10-08-079-08W4/0,614.94,611.36,614.94,M,614.94
1860,AA/10-08-079-13W4/0,688.75,685.55,688.75,M,688.75
1861,AA/10-08-079-14W4/0,703.6,700.7,703.6,M,703.6
1862,AA/10-08-081-10W4/0,708.355,705.307,708.355,M,708.355
1863,AA/10-08-081-13W4/0,670.7,667.8,670.7,M,670.7
1864,AA/10-08-081-14W4/0,590.9,587.4,590.9,M,590.9
1865,AA/10-08-086-09W4/0,484.0,478.9,484.0,M,484.0
1866,AA/10-08-087-09W4/0,437.2,432.1,437.2,M,437.2
1867,AA/10-08-087-15W4/0,495.33,492.33,495.33,M,495.33
1868,AA/10-08-088-15W4/0,535.9,535.9,535.9,M,535.9
1869,AA/10-08-088-16W4/0,542.8,539.0,542.8,M,542.8
1870,AA/10-08-089-14W4/0,496.0,493.7,496.0,M,496.0
1871,AA/10-08-090-14W4/0,480.8,477.8,480.8,M,480.8
1872,AA/10-08-090-16W4/0,483.93,480.0,483.93,M,483.93
1873,AA/10-08-091-17W4/0,509.22,505.57,509.22,M,509.22
1874,AA/10-08-092-15W4/0,468.569,466.283,468.569,M,468.569
1875,AA/10-08-093-17W4/0,509.95,506.3,509.95,M,509.95
1876,AA/10-08-094-14W4/0,434.05,428.8,434.05,M,434.05
1877,AA/10-09-083-19W4/0,577.5,577.5,580.32,M,580.32
1878,AA/10-09-084-11W4/0,607.35,603.7,607.35,M,607.35
1879,AA/10-10-079-14W4/0,693.42,690.52,693.42,M,693.42
