,SitID,Formation,MD,Quality,Unnamed: 0,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
107,102507,10000,549.00,3,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,151.96
108,102507,11000,553.50,2,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,147.46
109,102507,12000,553.50,2,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,147.46
110,102507,13000,553.50,2,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,147.46
111,102507,14000,606.50,1,928.00,00/10-14-067-03W4/0,700.96,697.30,700.96,M,700.96,0674031410000,94.46
112,102514,1000,339.50,1,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,343.04
113,102514,2000,,-1,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,
114,102514,3000,,-1,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,
115,102514,4000,,-1,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,
116,102514,5000,454.50,1,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,228.04
117,102514,6000,,-1,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,
118,102514,7000,483.00,3,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,199.54
119,102514,9000,486.00,3,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,196.54
120,102514,9500,486.00,3,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,196.54
121,102514,10000,491.00,3,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,191.54
122,102514,11000,493.50,3,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,189.04
123,102514,12000,493.50,3,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,189.04
124,102514,13000,493.50,3,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,189.04
125,102514,14000,558.00,1,1078.00,00/10-28-067-03W4/0,682.54,678.88,682.54,M,682.54,0674032810000,124.54
126,102517,1000,378.00,1,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,326.28
127,102517,2000,,-1,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,
128,102517,3000,,-1,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,
129,102517,4000,,-1,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,
130,102517,5000,495.50,1,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,208.78
131,102517,6000,,-1,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,
132,102517,7000,523.00,3,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,181.28
133,102517,9000,527.50,3,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,176.78
134,102517,9500,527.50,3,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,176.78
135,102517,10000,532.50,3,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,171.78
136,102517,11000,536.50,2,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,167.78
137,102517,12000,536.50,2,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,167.78
138,102517,13000,536.50,2,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,167.78
139,102517,14000,615.00,1,714.00,00/07-36-067-03W4/0,704.28,701.08,704.28,M,704.28,0674033607000,89.28
140,102518,1000,372.50,1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,324.61
141,102518,2000,,-1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,
142,102518,3000,,-1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,
143,102518,4000,,-1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,
144,102518,5000,488.00,1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,209.11
145,102518,6000,,-1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,
146,102518,7000,511.00,3,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,186.11
147,102518,9000,513.00,3,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,184.11
148,102518,9500,513.00,3,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,184.11
149,102518,10000,516.00,3,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,181.11
150,102518,11000,528.00,1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,169.11
151,102518,12000,528.00,1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,169.11
152,102518,13000,528.00,1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,169.11
153,102518,14000,588.50,1,826.00,00/10-02-067-04W4/0,697.11,693.26,697.11,M,697.11,0674040210000,108.61
154,102565,1000,365.50,1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,320.78
155,102565,2000,,-1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,
156,102565,3000,,-1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,
157,102565,4000,,-1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,
158,102565,5000,473.50,1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,212.78
159,102565,6000,,-1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,
160,102565,7000,497.50,2,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,188.78
161,102565,9000,504.00,3,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,182.28
162,102565,9500,504.00,3,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,182.28
163,102565,10000,510.00,3,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,176.28
