,L,iterations,regularization,MAE
364,8,30,10.0,82.46864284085295
365,8,40,0.001,64.52058955020547
366,8,40,0.01,47.165020282146614
367,8,40,0.1,32.91890416992228
368,8,40,1.0,45.52253421368965
369,8,40,10.0,90.0290058793994
370,8,50,0.001,66.04260472968656
371,8,50,0.01,47.59753274155379
372,8,50,0.1,32.701594571359465
373,8,50,1.0,49.78563120654736
374,8,50,10.0,96.74288022771128
375,8,60,0.001,67.48716554406178
376,8,60,0.01,47.73117184300678
377,8,60,0.1,32.95252204569816
378,8,60,1.0,51.73508232554077
379,8,60,10.0,101.21855777523425
380,8,70,0.001,70.37290530398938
381,8,70,0.01,48.571752377976395
382,8,70,0.1,33.2126642061882
383,8,70,1.0,54.00104873238607
384,8,70,10.0,104.8751443182329
385,8,80,0.001,72.17902774585694
386,8,80,0.01,48.644038448551896
387,8,80,0.1,33.28821658374375
388,8,80,1.0,55.13674654928842
389,8,80,10.0,108.72835882849188
390,8,90,0.001,72.59763898370177
391,8,90,0.01,48.809110805388926
392,8,90,0.1,33.33982233879143
393,8,90,1.0,56.002303467473084
394,8,90,10.0,113.97169612761053
395,8,100,0.001,73.11736010622192
396,8,100,0.01,48.75539193038051
397,8,100,0.1,33.56874848569149
398,8,100,1.0,56.72072255078515
399,8,100,10.0,114.82632637679757
400,9,10,0.001,60.64154165535489
401,9,10,0.01,52.54195598383774
402,9,10,0.1,44.07923909929093
403,9,10,1.0,43.39521242705424
404,9,10,10.0,70.64070361036855
405,9,20,0.001,60.56967083771157
406,9,20,0.01,50.71830863569829
407,9,20,0.1,42.4864996481475
408,9,20,1.0,48.912912529047034
409,9,20,10.0,74.48119416825436
410,9,30,0.001,65.47006609056453
411,9,30,0.01,51.799243801918635
412,9,30,0.1,42.12838651070372
413,9,30,1.0,52.60688118269404
414,9,30,10.0,80.1343348102223
415,9,40,0.001,67.81016139459715
416,9,40,0.01,52.57575238568346
417,9,40,0.1,42.06906105942744
418,9,40,1.0,56.13707321100347
419,9,40,10.0,83.40871308714902
420,9,50,0.001,68.22125683385867
421,9,50,0.01,52.61651417822569
422,9,50,0.1,42.46077518756704
423,9,50,1.0,59.99615579594221
424,9,50,10.0,91.49485784436095
425,9,60,0.001,68.98652628017717
426,9,60,0.01,52.30323842854524
427,9,60,0.1,43.219450103336534
