API,Elevation
490251108900,5195
490251109000,5163.8
490251109100,5173
490251109200,5153
490251109300,5218
490251109400,5267
490251109500,5201
490251109600,5157
490251109700,5159
490251109800,5198
490251109900,5162
490251110000,5252
490251110100,5210
490251110200,5074.8
490251110300,5007
490251110400,5082
490251110500,5129.8
490251110600,5146.8
490251110700,5206
490251110800,5245
490251110900,5124
490251111100,5200
490251111200,5229.5
490251111300,5266.4
490251111400,5192.8
490251111500,5086
490251111600,5241
490251111700,5277
490251111800,5132
490251111900,5003.8
490251112000,4986
490251112100,5141
490251112200,5171
490251112300,5227
490251112500,5180
490251112600,5174
490251112700,5174
490251112800,5184
490251112900,5182
490251113000,5164
490251113100,5171
490251113200,5178
490251113300,5177
490251113400,5071
490251113500,5253
490251113600,5235
490251113700,5173
490251113800,5094
490251114000,5214
490251114100,5230
490251114200,5211
490251114300,5206
490251114400,5227
490251114500,5211
490251114600,5203
490251114700,5171
490251114800,5207
490251114900,5234
490251115000,5097
490251115100,5273
490251115200,5238
490251115300,5164
490251115400,5261
490251115500,5189
490251115600,5143
490251115700,5200
490251115800,5106
490251115900,5238
490251116000,5252
490251116100,5294
490251116101,5294
490251116200,5131
490251116300,5213
490251116400,5170
490251116500,5181
490251116600,5242
490251116700,5183
490251116800,5112
490251116900,5166
490251117000,5240
490251117700,5166
490251117800,5186
490251117900,5226
490251118000,5238.6
490251118100,4997.6
490251118200,5078
490251118300,5088
490251118400,5265
490251118700,5247
490251118800,5240.5
490251118900,5237
490251119000,5229
490251119100,5048.6
490251119200,5072
490251119300,5240
490251119400,5208.6
490251119600,5006
490251119700,5090.6
490251119800,5293
490251119900,5166.6
490251120000,5076.6
490251120100,5286.6
490251120200,5139.6
490251120300,5156
490251120400,5240
490251120600,5224
490251120700,5215
490251120800,5162
490251120900,5191
490251121100,5174
490251121200,5162
490251121300,5179
490251121400,5188
490251121500,5188
490251121600,5191
490251121700,5180
490251121800,5180
490251121900,5177
490251122000,5177
490251122100,5173
490251122200,5173
490251122300,5276.6
490251122400,5176.2
490251122500,5177
490251122600,5183.2
490251122700,5174
490251122800,5186
490251122900,5163
490251123000,5178
490251123100,5164
490251123200,5164
490251123300,5205
490251123400,5189
490251123500,5205.6
490251123600,5207
490251123700,5176
490251123800,5221.6
490251123900,5194
490251124000,5103
490251124100,5218
490251124200,5146
490251124300,5173.6
490251124400,5286.6
490251124500,5259
490251124600,5207
490251124700,5074
490251124800,5189.5
490251125000,5175
490251125100,5162
490251125200,5077
490251125300,5162.5
490251125400,5197.5
490251125500,5304
490251125600,5119
490251125700,5159
490251125800,5149
490251125900,5107
490251126000,5090
490251126100,5292
490251126200,5178
490251126300,5141
490251126400,5146
