,SitID,Formation,MD,Quality,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
214,102589,5000,448.0,1,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,212.01999999999998
216,102589,7000,471.0,1,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,189.01999999999998
217,102589,9000,478.0,3,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,182.01999999999998
218,102589,9500,478.0,3,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,182.01999999999998
219,102589,10000,482.0,2,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,178.01999999999998
220,102589,11000,486.0,1,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,174.01999999999998
221,102589,12000,486.0,1,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,174.01999999999998
222,102589,13000,486.0,1,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,174.01999999999998
223,102589,14000,540.0,1,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,120.01999999999998
224,102592,1000,337.5,1,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,340.14
228,102592,5000,454.5,1,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,223.14
230,102592,7000,480.0,2,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,197.64
231,102592,9000,484.0,3,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,193.64
232,102592,9500,484.0,3,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,193.64
233,102592,10000,486.5,2,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,191.14
234,102592,11000,490.5,1,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,187.14
235,102592,12000,490.5,1,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,187.14
236,102592,13000,490.5,1,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,187.14
237,102592,14000,557.5,1,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,120.13999999999999
238,102596,1000,329.0,1,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,342.01
242,102596,5000,448.0,1,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,223.01
244,102596,7000,471.0,2,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,200.01
245,102596,9000,475.5,3,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,195.51
246,102596,9500,475.5,3,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,195.51
247,102596,10000,478.0,2,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,193.01
248,102596,11000,481.0,1,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,190.01
249,102596,12000,481.0,1,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,190.01
250,102596,13000,481.0,1,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,190.01
251,102596,14000,533.5,1,00/10-33-067-05W4/0,671.01,667.11,671.01,M,671.01,0674053310000,137.51
252,102597,1000,326.0,1,00/15-01-067-06W4/0,650.03,647.05,650.03,M,650.03,0674060115000,324.03
256,102597,5000,439.0,1,00/15-01-067-06W4/0,650.03,647.05,650.03,M,650.03,0674060115000,211.02999999999997
264,102597,13000,503.0,2,00/15-01-067-06W4/0,650.03,647.05,650.03,M,650.03,0674060115000,147.02999999999997
265,102597,14000,531.5,1,00/15-01-067-06W4/0,650.03,647.05,650.03,M,650.03,0674060115000,118.52999999999997
266,102606,1000,339.0,1,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,317.96000000000004
270,102606,5000,456.0,1,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,200.96000000000004
272,102606,7000,483.5,2,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,173.46000000000004
275,102606,10000,486.5,2,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,170.46000000000004
276,102606,11000,492.0,3,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,164.96000000000004
277,102606,12000,492.0,3,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,164.96000000000004
278,102606,13000,492.0,3,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,164.96000000000004
279,102606,14000,533.0,1,00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96,0674061706000,123.96000000000004
280,102609,1000,342.5,1,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,319.66999999999996
284,102609,5000,460.0,1,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,202.16999999999996
286,102609,7000,480.0,1,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,182.16999999999996
287,102609,9000,487.0,3,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,175.16999999999996
288,102609,9500,487.0,3,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,175.16999999999996
289,102609,10000,490.0,2,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,172.16999999999996
290,102609,11000,493.0,2,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,169.16999999999996
291,102609,12000,493.0,2,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,169.16999999999996
292,102609,13000,493.0,2,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,169.16999999999996
293,102609,14000,543.0,1,00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17,0674062902000,119.16999999999996
294,102610,1000,322.0,1,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,303.23
298,102610,5000,439.5,1,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,185.73000000000002
300,102610,7000,456.0,3,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,169.23000000000002
301,102610,9000,458.5,3,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,166.73000000000002
302,102610,9500,458.5,3,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,166.73000000000002
303,102610,10000,461.0,2,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,164.23000000000002
304,102610,11000,473.0,1,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,152.23000000000002
305,102610,12000,473.0,1,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,152.23000000000002
306,102610,13000,473.0,1,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,152.23000000000002
307,102610,14000,537.0,1,00/11-05-067-07W4/0,625.23,621.33,625.23,M,625.23,0674070511000,88.23000000000002
308,102611,1000,340.0,1,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,312.40999999999997
312,102611,5000,458.0,1,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,194.40999999999997
314,102611,7000,474.0,1,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,178.40999999999997
315,102611,9000,481.0,3,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,171.40999999999997
316,102611,9500,481.0,3,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,171.40999999999997
317,102611,10000,486.0,3,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,166.40999999999997
318,102611,11000,493.0,2,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,159.40999999999997
319,102611,12000,493.0,2,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,159.40999999999997
320,102611,13000,493.0,2,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,159.40999999999997
321,102611,14000,544.0,1,00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41,0674071306000,108.40999999999997
322,102614,1000,334.0,1,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,319.5
326,102614,5000,454.0,1,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,199.5
328,102614,7000,474.0,1,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,179.5
329,102614,9000,480.5,3,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,173.0
330,102614,9500,480.5,3,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,173.0
331,102614,10000,484.0,2,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,169.5
332,102614,11000,487.0,1,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,166.5
333,102614,12000,487.0,1,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,166.5
334,102614,13000,487.0,1,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,166.5
335,102614,14000,535.0,2,00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5,0674072503000,118.5
336,102615,1000,372.0,1,00/08-29-067-07W4/0,690.14,686.24,690.14,M,690.14,0674072908000,318.14
340,102615,5000,493.0,1,00/08-29-067-07W4/0,690.14,686.24,690.14,M,690.14,0674072908000,197.14
342,102615,7000,512.0,1,00/08-29-067-07W4/0,690.14,686.24,690.14,M,690.14,0674072908000,178.14
343,102615,9000,518.5,3,00/08-29-067-07W4/0,690.14,686.24,690.14,M,690.14,0674072908000,171.64
