API,Formation,MD,Datum Elevation
490251107100,F2WC,2988.93,
490251107100,SHNNbs,529.54,
490251107100,F1WC,2578.89,
490251107100,F1WCbase,2773.47,
490252247200,SHNNu,444.77,
490252247200,SHNNl,534.52,
490252247200,SSXbase,76.26,
490252247200,SHNNbs,605.75,
490252247200,SSXS,32.02,
490251114100,SSXbase,53.36,
490251114100,SHNNu,421.95,
490251114100,SHNNl,501.3,
490251114100,SHNNbs,578.69,
490251085000,B1,2888.43,
490251085000,F1WC,2642.98,
490251085000,F2WCbase,3127.43,
490251085000,CRLL,2401.51,
490251085000,F2WC,3059.02,
490251085000,F1WCbase,2838.89,
490251086300,B1,3075.06,
490251086300,F1WC,2859.78,
490251086300,CRLL,2611.09,
490251086300,SHNNu,572.55,
490251086300,SHNNl,659.89,
490251086300,SHNNbs,735.53,
490251086300,SSXbase,191.66,
490251086300,F2WCbase,3333.97,
490251086300,F2WC,3253.02,
490251086300,F1WCbase,3027.29,
490251107200,F1WC,2640.65,
490251107200,CRLL,2395.27,
490251107200,SHNNbs,553.19,
490251107200,SHNNl,486.03,
490251107200,SHNNu,392.02,
490251107200,F1WC,2639.93,
490251107200,F1WCbase,2672.76,
490251107200,CRLL,2394.91,
490251107200,NBRRsg,2166.7,
490251107200,NBRRws,1932.09,
