UWI,DATUM,GL,EREF,UNIT,datum
00/05-26-090-18W4/0,508.81,504.31,508.81,M,508.81
00/05-27-068-11W4/0,615.2,615.2,618,M,618
00/05-29-068-07W4/0,628.32,628.32,631.9,M,631.9
00/05-29-078-19W4/0,559.38,559.38,563.38,M,563.38
00/05-31-074-11W4/0,660.1,656.1,660.1,M,660.1
00/05-31-079-13W4/0,698,694.2,698,M,698
00/05-31-093-20W4/0,641.4,638,641.4,M,641.4
00/05-32-070-14W4/0,631.3,631.3,634.74,M,634.74
00/05-33-079-17W4/0,557.784,554.736,557.784,M,557.784
00/05-33-081-12W4/0,748,744,748,M,748
00/05-36-074-23W4/0,723.3,723.3,726.2,M,726.2
00/05-36-092-20W4/0,531.3,527.9,531.3,M,531.3
00/06-01-072-05W4/0,671,671,674.85,M,674.85
00/06-01-072-11W4/0,644.9,644.9,648.4,M,648.4
00/06-01-080-24W4/0,547.6,547.6,552.6,M,552.6
00/06-01-082-01W5/0,565.404,562.051,565.404,M,565.404
00/06-01-093-21W4/0,547.23,443.43,547.23,M,547.23
00/06-02-072-02W5/0,588.416,588.416,591.312,M,591.312
00/06-02-072-20W4/0,589.483,589.483,593.446,M,593.446
00/06-02-076-15W4/0,714.146,714.146,717.194,M,717.194
00/06-02-077-26W4/0,838.566,835.121,838.566,M,838.566
00/06-02-079-23W4/0,571.805,568.452,571.805,M,571.805
00/06-02-080-07W4/0,562.7,559.1,562.7,M,562.7
00/06-02-092-19W4/0,530.82,527.02,530.82,M,530.82
00/06-03-067-14W4/0,601.36,598.4,601.36,M,601.36
00/06-03-070-23W4/0,626.577,626.577,629.839,M,629.839
00/06-03-071-17W4/0,558.851,558.851,562.356,M,562.356
00/06-03-071-19W4/0,586.5,586.5,589.7,M,589.7
00/06-03-074-18W4/0,594.208,591.16,594.208,M,594.208
00/06-03-075-10W4/0,683.88,683.88,687.172,M,687.172
00/06-03-077-03W4/0,590.4,587.4,590.4,M,590.4
00/06-03-077-22W4/0,756.94,756.94,760.293,M,760.293
00/06-03-078-16W4/0,634.898,631.85,634.898,M,634.898
00/06-03-079-09W4/0,658.368,654.71,658.368,M,658.368
00/06-03-080-12W4/0,690,687,690,M,690
00/06-03-082-26W4/0,561.1,561.1,564.6,M,564.6
00/06-03-091-19W4/0,518.3,518.3,518.3,M,518.3
00/06-03-093-20W4/0,529,525.7,529,M,529
00/06-04-075-09W4/0,662.5,662.5,666,M,666
00/06-04-075-24W4/0,718.322,718.322,723.199,M,723.199
00/06-05-070-13W4/0,577.2,577.2,581.1,M,581.1
00/06-05-074-12W4/0,661.2,661.2,664.2,M,664.2
00/06-05-076-04W5/0,955.243,955.243,958.596,M,958.596
00/06-05-076-14W4/0,2386,2386,2398,F,730.9104
00/06-05-079-05W4/0,533.04,529.39,533.04,M,533.04
